id,q1,q2a,q2b,q2c,q3a,q3b,q4a,q4b,q4c,total,difference
12111,4,1,1,1,0,0,0,1,1,9,0
12316,4,1,1,1,1,0,1,1,1,11,3
13477,4,1,1,1,1,0,1,1,1,11,3
13823,4,1,1,1,1,1,1,1,1,12,1
15273,1,1,1,1,1,1,1,1,1,9,-2
24457,4,1,1,1,0,0,0,1,1,9,3
24648,4,1,0,1,1,1,1,1,1,11,3
28651,4,1,1,0,0,1,1,1,0,9,1
36577,4,1,1,1,0,0,1,1,1,10,-1
39316,4,1,1,0,1,1,1,1,1,11,1
41459,4,1,1,1,0,1,1,1,1,11,1
42567,4,1,1,1,0,1,1,1,1,11,-1
43268,4,1,0,1,1,1,1,1,1,11,-1
43933,4,1,1,1,1,0,1,1,1,11,1
48196,4,1,1,1,1,1,1,1,1,12,0
52978,4,1,1,1,1,1,1,1,1,12,5
54253,4,1,1,1,1,0,1,1,0,10,1
55789,4,1,1,1,1,0,0,1,1,10,2
55988,4,1,0,1,0,0,1,1,1,9,-2
58376,4,1,1,1,1,1,1,1,1,12,1
58946,4,1,1,1,0,1,1,1,1,11,1
61152,4,1,1,1,1,1,1,1,1,12,0
64497,4,1,1,1,0,0,1,1,1,10,0
65458,4,1,1,1,1,0,1,1,1,11,0
66678,2,1,0,0,1,1,0,1,1,7,-3
68497,4,1,1,1,0,0,0,1,1,9,0
72378,4,1,1,1,1,1,1,1,1,12,3
81555,4,1,1,1,0,1,1,1,1,11,2
82589,0,1,1,1,0,0,1,1,1,6,0
85632,4,1,1,1,1,1,1,1,0,11,1
91459,4,1,1,1,1,1,0,1,1,11,0
94258,4,1,1,1,1,1,1,1,1,12,1
